#,Distance[3],,Designation,,,Stellar class,Apparent magnitude,Absolute magnitude,Epoch J2000.0,,,,,,Parallax[2][4],Discovery date[5],Additional
,Light-years,(±err),System,Star,Star #,,,,Right ascension[h],[m],[s],Declination[°],['],"[""]",mas(±err),,references
40,14.805,242,LHS 292 (LP 731-58),,58,M6.5V,15.60,17.32,10, 48, 12.6,?11° 20? 14?,,,220.30(360)[6],,
41,14.809,107,Gliese 674 (LHS 449),,59,M3.0V,9.38,11.09,17, 28, 39.9,?46° 53? 43?,,,220.25(159)[6][7],,has one known planet[29]
42,14.812,67,GJ 1245,GJ 1245 A,60,M5.5V,13.46,15.17,19, 53, 54.2,+44° 24? 55?,,,220.20(100)[6],,
,,,,GJ 1245 B,60,M6.0V,14.01,15.72,19, 53, 55.2,+44° 24? 56?,,,,,
,,,,GJ 1245 C,60,M5.5,16.75,18.46,19, 53, 54.2,+44° 24? 55?,,,,,
43,15.06,140,Gliese 440 (WD 1142-645),,63,DQ6,11.50,13.18,11, 45, 42.9,?64° 50? 29?,,,216.57(201)[6][7],,
44,15.313,259,GJ 1002,,64,M5.5V,13.76,15.4,0, 06, 43.8,?07° 32? 22?,,,213.00(360)[6],,
45,15.342,141,Gliese 876 (Ross 780),,65,M3.5V,10.17,11.81,22, 53, 16.7,?14° 15? 49?,,,212.59(196)[6][7],,has four known planets[30]
46,15.61,204,LHS 288 (Luyten 143-23),,66,M5.5V,13.90,15.51,10, 44, 21.2,?61° 12? 36?,,,208.95(273)[19],,[21]
47,15.832,83,Gliese 412,Gliese 412 A,67,M1.0V,8.77,10.34,11, 05, 28.6,+43° 31? 36?,,,206.02(108)[6][7],,
,,,,Gliese 412 B (WX Ursae Majoris),67,M5.5V,14.48,16.05,11, 05, 30.4,+43° 31? 18?,,,,,
48,15.848,52,Groombridge 1618 (Gliese 380),,69,K7.0V,6.59,8.16,10, 11, 22.1,+49° 27? 15?,,,205.81(067)[6][7],,
49,15.942,218,AD Leonis,,70,M3.0V,9.32,10.87,10, 19, 36.4,+19° 52? 10?,,,204.60(280)[6],,
50,16.067,22,DENIS J081730.0-615520,,71,T6,,,8, 17,,?61° 55?,,,203 [22],2010,
51,16.085,105,Gliese 832,,72,M3.0V,8.66,10.2,21, 33, 34.0,?49° 00? 32?,,,202.78(132)[6][7],,has one known planet[31]
52,16.195,338,LP 944-020,,73,M9.0V,18.69,20.02,3, 39, 35.2,?35° 25? 41?,,,201.40(420)[32],,
53,16.197,313,DEN 0255-4700,,74,L7.5V,22.92,24.44,2, 55, 03.7,?47° 00? 52?,,,201.37(389)[19],,[26]
